2020,3,3,-1.1,79.3,.12,0,0,3.7,7.6,1.2,1.1,134,22,2,-.01,.45,-4.2
2020,3,4,-1.4,77.8,.12,0,0,3.5,7.5,1.6,1.6,107,16,2.5,-.01,.43,-4.8
2020,3,5,-1.9,78.8,.11,0,0,3.3,7.5,1.6,1.6,91,9,2.4,-.01,.42,-5
2020,3,6,-2.4,81.6,.09,0,0,3.1,7.5,1.8,1.8,96,8,2.6,-.01,.42,-5.1
2020,3,7,-2,77.7,.12,0,0,2.9,7.4,1.8,1.8,90,11,2.8,-.01,.41,-5.3
2020,3,8,-2.8,81.3,.09,.12,0,2.8,7.4,1.5,1.2,356,37,3.7,0,.4,-5.6
2020,3,9,-.3,77.9,.14,.67,0,2.7,7.3,1.1,1,12,24,2.8,.04,.46,-3.7
2020,3,10,3.6,61.5,.31,1.28,0,2.7,7.3,1.3,1.1,335,33,2.3,.15,.48,-3.2
2020,3,11,5.2,52.7,.42,1.77,0,3.3,7.2,1.2,1,266,29,2.7,.24,.46,-3.7
2020,3,12,7.8,40,.63,2.07,0,4.5,7.2,1.1,.8,192,41,2.5,.32,.42,-4.9
2020,3,13,9.4,36.8,.75,2.11,0,5.8,7.1,1,.5,200,59,2.9,.34,.43,-4.7
2020,3,14,10.5,31.3,.87,2.01,0,7,7.1,1.3,.9,180,43,2.8,.34,.4,-5.8
2020,3,15,11.4,31.4,.93,1.65,0,8,7.1,1.1,.9,310,40,3.1,.27,.43,-4.9
2020,3,16,12.2,29.9,1,1.06,0,8.5,7,.8,.6,327,42,2.2,.16,.42,-4.9
2020,3,17,11.6,29.8,.96,.51,0,8.4,7,1.4,1.1,256,32,2.8,.06,.41,-5.5
2020,3,18,8.9,45.6,.63,.05,0,7.9,7,.4,.3,228,22,1.6,.01,.52,-2.3
2020,3,19,4.4,67.3,.28,0,0,7.2,7.1,1.4,1.3,71,20,1.9,0,.56,-1.2
2020,3,20,3.2,71.9,.22,0,0,6.6,7.1,1.6,1.6,70,7,2.1,-.01,.55,-1.4
2020,3,21,1.8,79.5,.14,0,0,6.1,7.2,1.7,1.5,99,25,2.6,-.01,.55,-1.3
2020,3,22,1,79.7,.13,0,0,5.7,7.3,1.2,1,58,26,1.9,-.01,.52,-2.1
2020,3,23,1.1,77.1,.15,0,0,5.3,7.3,1.4,1.3,62,17,2.1,-.01,.51,-2.5
2020,3,24,-.4,83.6,.1,0,0,4.9,7.3,1.1,.8,66,45,2,-.02,.5,-2.9
2020,4,1,-1.7,87.7,.07,0,0,4.6,7.4,.7,.1,320,73,2.3,-.02,.47,-3.5
2020,4,2,-2.3,91.8,.04,0,0,4.2,7.4,.8,.7,92,31,2.2,-.02,.47,-3.4
2020,4,3,-1.2,87.6,.07,0,0,4,7.4,1.3,1.3,60,13,2.1,-.02,.49,-3
2020,4,4,-2,88.4,.06,0,0,3.7,7.4,.9,.6,79,43,1.9,-.02,.47,-3.7
2020,4,5,-2.8,90,.05,0,0,3.5,7.4,.7,.4,32,52,1.4,-.02,.45,-4.2
2020,4,6,-2.8,91.4,.04,0,0,3.3,7.4,.7,.6,38,24,1.2,-.02,.46,-4
2020,4,7,-3.1,90.5,.05,0,0,3.1,7.3,.3,.3,11,15,1.2,-.02,.44,-4.5
2020,4,8,-2.8,91.9,.04,.12,0,3,7.3,.5,.4,109,37,1.3,0,.46,-3.9
2020,4,9,.1,83.1,.1,.69,0,2.8,7.3,1,.8,154,37,2.2,.05,.51,-2.5
2020,4,10,3.8,70.1,.25,1.28,0,3,7.2,.7,.5,178,41,1.7,.14,.56,-1.2
2020,4,11,6.7,58.1,.41,1.76,0,3.8,7.2,.9,.7,243,35,2.4,.24,.57,-1
2020,4,12,9.7,45.6,.66,2.07,0,4.9,7.1,1.6,1.5,305,24,3.1,.34,.55,-1.5
2020,4,13,11.7,33.3,.92,2.17,0,6.2,7.1,1.8,1.7,309,20,3.7,.39,.46,-4
2020,4,14,13.7,31.5,1.08,1.8,0,7.5,7.1,1.6,1.4,322,23,3,.33,.5,-2.8
